size,q_shared_skills,hamming_avg,workcount_range,skill_q_range,skill_variation,control
3,0,10.0,7,4,0.8181818181818182,False
3,1,16.0,13,0,0.6666666666666666,False
3,1,17.333333333333332,6,4,0.8,False
3,0,14.0,6,1,0.7142857142857143,False
3,0,17.333333333333332,6,4,0.7272727272727273,False
3,0,10.0,13,4,0.8181818181818182,False
3,0,11.333333333333334,7,2,0.6923076923076923,False
3,1,16.0,6,1,0.7692307692307693,False
3,0,17.333333333333332,6,4,0.7777777777777778,False
3,0,10.0,6,1,0.7142857142857143,False
3,0,10.0,13,2,0.7692307692307693,False
3,0,12.0,13,4,0.8,False
3,0,12.666666666666666,6,3,0.7272727272727273,False
3,1,11.333333333333334,7,3,0.6666666666666666,False
3,0,18.0,6,3,0.9090909090909091,False
3,0,15.333333333333334,6,2,0.8333333333333334,False
3,0,8.0,6,1,0.8461538461538461,False
3,1,12.666666666666666,13,3,0.7,False
3,1,12.0,13,1,0.7142857142857143,False
3,1,16.0,7,0,0.6666666666666666,False
3,0,12.666666666666666,6,1,0.7857142857142857,False
3,1,15.333333333333334,13,0,0.7333333333333333,False
3,1,16.666666666666668,6,3,0.8181818181818182,False
3,0,7.333333333333333,7,1,0.7857142857142857,False
3,0,13.333333333333334,13,2,0.8333333333333334,False
3,0,14.666666666666666,13,0,0.7333333333333333,False
3,0,17.333333333333332,13,4,0.875,False
3,1,13.333333333333334,13,3,0.7272727272727273,False
3,0,10.0,7,4,0.8181818181818182,False
3,1,16.0,13,0,0.6666666666666666,False
3,1,17.333333333333332,6,4,0.8,False
3,0,14.0,6,1,0.7142857142857143,False
3,0,17.333333333333332,6,4,0.7272727272727273,False
3,0,10.0,13,4,0.8181818181818182,False
3,0,11.333333333333334,7,2,0.6923076923076923,False
3,1,16.0,6,1,0.7692307692307693,False
3,0,17.333333333333332,6,4,0.7777777777777778,False
3,0,10.0,6,1,0.7142857142857143,False
3,0,10.0,13,2,0.7692307692307693,False
3,0,12.0,13,4,0.8,False
3,0,12.666666666666666,6,3,0.7272727272727273,False
3,1,11.333333333333334,7,3,0.6666666666666666,False
3,0,18.0,6,3,0.9090909090909091,False
3,0,18.0,6,3,0.9090909090909091,False
3,0,15.333333333333334,6,2,0.8333333333333334,False
3,0,8.0,6,1,0.8461538461538461,False
3,1,12.666666666666666,13,3,0.7,False
3,1,12.0,13,1,0.7142857142857143,False
3,1,16.0,7,0,0.6666666666666666,False
3,1,15.333333333333334,13,0,0.7333333333333333,False
3,1,16.666666666666668,6,3,0.8181818181818182,False
3,0,7.333333333333333,7,1,0.7857142857142857,False
3,0,13.333333333333334,13,2,0.8333333333333334,False
3,0,14.666666666666666,13,0,0.7333333333333333,False
3,0,17.333333333333332,13,4,0.875,False
3,1,13.333333333333334,13,3,0.7272727272727273,False
5,0,12.4,13,3,0.8181818181818182,False
5,0,12.4,13,3,0.8181818181818182,False
3,0,12.666666666666666,7,1,0.7142857142857143,False
3,0,12.666666666666666,7,1,0.7142857142857143,False
2,3,2.0,0,0,0.7,False
2,3,2.0,0,0,0.7,False
6,0,3.8666666666666667,0,3,0.5263157894736842,False
6,0,3.8666666666666667,0,3,0.5263157894736842,False
4,0,4.333333333333333,0,3,0.5714285714285714,False
4,0,4.333333333333333,0,3,0.5714285714285714,False
4,0,9.166666666666666,13,3,0.7,False
4,0,9.166666666666666,13,3,0.7,False
2,0,6.0,0,0,1.0,False
2,0,6.0,0,0,1.0,False
3,0,8.666666666666666,7,1,0.9,False
3,0,8.666666666666666,7,1,0.9,False
3,0,1.3333333333333333,0,2,0.8888888888888888,False
3,0,1.3333333333333333,0,2,0.8888888888888888,False
6,0,3.3333333333333335,0,4,0.6875,False
6,0,3.3333333333333335,0,4,0.6875,False
6,0,3.3333333333333335,0,4,0.6875,False
4,0,4.333333333333333,0,3,0.8181818181818182,False
4,0,4.333333333333333,0,3,0.8181818181818182,False
4,0,13.0,13,4,0.6666666666666666,False
4,0,13.0,13,4,0.6666666666666666,False
3,0,2.6666666666666665,0,2,0.8888888888888888,False
3,0,2.6666666666666665,0,2,0.8888888888888888,False
3,0,8.666666666666666,7,2,0.8333333333333334,False
3,0,8.666666666666666,7,2,0.8333333333333334,False
3,0,18.666666666666668,6,4,0.9,False
3,0,18.666666666666668,6,4,0.9,False
3,0,4.0,0,2,0.7692307692307693,False
3,0,4.0,0,2,0.7692307692307693,False
3,0,4.0,0,3,0.8333333333333334,False
3,0,4.0,0,3,0.8333333333333334,False
2,0,2.0,0,1,1.0,False
2,0,2.0,0,1,1.0,False
7,0,3.0476190476190474,0,4,0.55,False
2,0,4.0,0,2,1.0,False
2,0,4.0,0,2,1.0,False
2,2,2.0,0,2,0.75,False
2,2,2.0,0,2,0.75,False
6,0,4.066666666666666,7,4,0.5238095238095238,False
6,0,4.066666666666666,7,4,0.5238095238095238,False
5,0,14.8,13,4,0.7142857142857143,False
5,0,14.8,13,4,0.7142857142857143,False
5,0,6.8,13,3,0.6,False
5,0,6.8,13,3,0.6,False
4,0,2.0,0,2,0.6923076923076923,False
4,0,2.0,0,2,0.6923076923076923,False
7,0,2.9523809523809526,0,4,0.55,False
7,0,2.9523809523809526,0,4,0.55,False
2,1,12.0,6,1,0.8888888888888888,False
2,1,12.0,6,1,0.8888888888888888,False
5,0,11.6,13,3,0.6153846153846154,False
5,0,11.6,13,3,0.6153846153846154,False
7,0,8.952380952380953,13,4,0.55,False
7,0,8.952380952380953,13,4,0.55,False
5,0,3.6,0,4,0.75,False
5,0,3.6,0,4,0.75,False
4,0,9.333333333333334,7,4,0.9,False
4,0,9.333333333333334,7,4,0.9,False
4,0,10.166666666666666,13,2,0.8461538461538461,False
4,0,10.166666666666666,13,2,0.8461538461538461,False
4,0,16.5,13,4,0.7272727272727273,False
4,0,16.5,13,4,0.6666666666666666,False
4,0,15.833333333333334,13,4,0.6923076923076923,False
4,0,16.5,13,4,0.7272727272727273,False
4,0,16.5,13,4,0.6666666666666666,False
4,0,15.833333333333334,13,4,0.6923076923076923,False
4,0,14.833333333333334,13,3,0.7857142857142857,False
4,0,15.333333333333334,6,4,0.8333333333333334,False
4,0,14.833333333333334,13,3,0.7857142857142857,False
4,0,15.333333333333334,6,4,0.8333333333333334,False
4,0,12.666666666666666,13,4,0.7692307692307693,False
4,0,12.666666666666666,13,4,0.7692307692307693,False
4,0,9.333333333333334,7,4,0.7692307692307693,False
4,0,9.333333333333334,7,4,0.7692307692307693,False
4,0,10.833333333333334,7,4,0.8,False
4,0,5.833333333333333,7,4,0.7333333333333333,False
4,0,10.833333333333334,7,4,0.8,False
4,0,5.833333333333333,7,4,0.7333333333333333,False
4,0,10.0,13,3,0.625,False
4,0,10.0,13,3,0.625,False
4,0,11.333333333333334,13,4,0.75,False
4,0,16.166666666666668,13,4,0.7333333333333333,False
4,0,16.166666666666668,13,4,0.7333333333333333,False
4,0,18.0,6,4,0.75,False
4,0,18.0,6,4,0.75,False
4,0,13.666666666666666,6,3,0.6666666666666666,False
4,0,13.666666666666666,6,3,0.6666666666666666,False
4,0,11.333333333333334,13,3,0.7692307692307693,False
4,0,11.333333333333334,13,3,0.7692307692307693,False
7,0,12.571428571428571,13,4,0.5555555555555556,False
7,0,12.571428571428571,13,4,0.5555555555555556,False
4,0,17.5,13,3,0.8181818181818182,False
4,0,17.5,13,3,0.8181818181818182,False
4,0,16.5,13,4,0.8,False
4,0,16.5,13,4,0.8,False
4,0,1.6666666666666667,0,3,0.9,False
4,0,1.6666666666666667,0,3,0.9,False
4,0,16.333333333333332,13,3,0.8571428571428571,False
4,0,16.333333333333332,13,3,0.8571428571428571,False
4,0,14.333333333333334,6,3,0.625,False
4,0,14.333333333333334,6,3,0.625,False
4,0,16.5,13,4,0.7692307692307693,False
4,0,16.5,13,4,0.7692307692307693,False
4,0,15.333333333333334,13,4,0.7857142857142857,False
4,0,15.333333333333334,13,4,0.7857142857142857,False
4,0,16.833333333333332,13,3,0.7692307692307693,False
4,0,16.166666666666668,13,3,0.7333333333333333,False
4,0,15.333333333333334,6,4,0.8333333333333334,False
4,0,16.833333333333332,13,3,0.7692307692307693,False
4,0,16.166666666666668,13,3,0.7333333333333333,False
4,0,15.333333333333334,6,4,0.8333333333333334,False
4,0,15.5,13,2,0.875,False
4,0,15.5,13,2,0.875,False
4,0,11.666666666666666,6,2,0.75,False
4,0,11.666666666666666,6,2,0.75,False
4,0,17.833333333333332,13,4,0.75,False
4,0,15.333333333333334,6,4,0.75,False
4,0,17.833333333333332,13,4,0.75,False
4,0,15.333333333333334,6,4,0.75,False
5,0,7.4,13,3,0.75,False
5,0,7.4,13,3,0.75,False
5,0,13.4,13,3,0.7272727272727273,False
5,0,13.4,13,3,0.7272727272727273,False
4,0,12.333333333333334,13,3,0.8181818181818182,False
4,0,12.333333333333334,13,3,0.8181818181818182,False
4,0,11.0,13,3,0.6923076923076923,False
4,0,11.0,13,3,0.6923076923076923,False
4,0,13.0,13,3,0.7333333333333333,False
4,0,13.0,13,3,0.7333333333333333,False
6,0,13.533333333333333,13,4,0.6875,False
6,0,13.533333333333333,13,4,0.6875,False
4,0,10.666666666666666,13,3,0.7142857142857143,False
4,0,10.666666666666666,13,3,0.7142857142857143,False
4,0,17.0,6,4,0.8181818181818182,False
4,0,17.0,6,4,0.8181818181818182,False
4,0,11.0,13,3,0.7857142857142857,False
4,0,11.0,13,3,0.7857142857142857,False
4,0,7.5,7,2,0.6470588235294118,False
4,0,7.5,7,2,0.6470588235294118,False
4,0,17.833333333333332,13,3,0.7142857142857143,False
4,0,17.833333333333332,13,3,0.7142857142857143,False
4,0,7.833333333333333,7,2,0.6,False
4,0,7.833333333333333,7,2,0.6,False
4,0,17.5,13,3,0.7857142857142857,False
4,0,17.5,13,3,0.7857142857142857,False
8,0,3.0714285714285716,0,4,0.5,False
8,0,3.0714285714285716,0,4,0.5,False
4,0,12.333333333333334,6,4,0.7142857142857143,False
4,0,12.333333333333334,6,4,0.7142857142857143,False
4,0,12.666666666666666,13,3,0.6666666666666666,False
4,0,12.666666666666666,13,3,0.6666666666666666,False
4,0,13.0,13,3,0.7333333333333333,False
4,0,13.0,13,3,0.7333333333333333,False
4,0,11.333333333333334,13,3,0.6666666666666666,False
4,0,7.5,13,2,0.6875,False
4,0,11.333333333333334,13,3,0.6666666666666666,False
4,0,7.5,13,2,0.6875,False
4,0,16.333333333333332,6,3,0.6875,False
4,0,16.333333333333332,6,3,0.6875,False
4,0,16.833333333333332,13,3,0.6470588235294118,False
4,0,16.833333333333332,13,3,0.6470588235294118,False
4,0,8.333333333333334,7,4,0.6923076923076923,False
4,0,8.333333333333334,7,4,0.6923076923076923,False
4,0,8.5,7,4,0.75,False
4,0,8.5,7,4,0.75,False
6,0,15.066666666666666,13,3,0.6666666666666666,False
6,0,15.066666666666666,13,3,0.6666666666666666,False
4,0,5.833333333333333,7,2,0.7058823529411765,False
4,0,5.833333333333333,7,2,0.7058823529411765,False
4,0,10.0,13,3,0.6875,False
4,0,10.0,13,3,0.6875,False
4,0,12.833333333333334,13,1,0.6111111111111112,False
4,0,12.833333333333334,13,1,0.6111111111111112,False
4,0,12.833333333333334,13,1,0.6111111111111112,False
4,0,11.666666666666666,13,3,0.7333333333333333,False
4,0,11.0,13,3,0.6428571428571429,False
4,0,11.0,13,3,0.6428571428571429,False
4,0,3.6666666666666665,0,3,0.7333333333333333,False
4,0,3.6666666666666665,0,3,0.7333333333333333,False
4,0,17.333333333333332,6,4,0.6666666666666666,False
4,0,17.333333333333332,6,4,0.6666666666666666,False
4,0,15.333333333333334,6,3,0.8235294117647058,False
4,0,15.333333333333334,6,3,0.8235294117647058,False
4,0,12.333333333333334,13,3,0.6666666666666666,False
4,0,12.333333333333334,13,3,0.6666666666666666,False
2,1,6.0,0,3,0.8571428571428571,False
2,1,6.0,0,3,0.8571428571428571,False
4,0,4.0,0,3,0.7333333333333333,False
4,0,4.0,0,3,0.7333333333333333,False
4,0,10.666666666666666,13,4,0.6923076923076923,False
4,0,10.666666666666666,13,4,0.6923076923076923,False
3,0,4.0,0,3,0.9,False
3,0,4.0,0,3,0.9,False
7,0,3.3333333333333335,0,4,0.6111111111111112,False
7,0,3.3333333333333335,0,4,0.6111111111111112,False
4,0,12.666666666666666,13,2,0.5,False
4,0,12.666666666666666,13,2,0.5,False
4,0,10.666666666666666,13,2,0.625,False
4,0,10.666666666666666,13,2,0.625,False
4,0,17.0,6,3,0.6428571428571429,False
4,0,14.833333333333334,13,3,0.7857142857142857,False
4,0,17.0,6,3,0.6428571428571429,False
4,0,14.833333333333334,13,3,0.7857142857142857,False
8,0,3.0,0,4,0.5,False
8,0,3.0,0,4,0.5,False
4,0,16.833333333333332,13,3,0.7333333333333333,False
4,0,16.833333333333332,13,3,0.7333333333333333,False
4,0,13.5,13,2,0.6470588235294118,False
4,0,11.0,13,1,0.6666666666666666,False
4,0,13.5,13,2,0.6470588235294118,False
4,0,11.0,13,1,0.6666666666666666,False
4,0,16.333333333333332,6,3,0.6875,False
4,0,16.333333333333332,6,3,0.6875,False
4,0,13.0,6,2,0.7647058823529411,False
4,0,13.0,6,2,0.7647058823529411,False
4,0,18.166666666666668,13,3,0.8888888888888888,False
4,0,18.166666666666668,13,3,0.8888888888888888,False
7,0,3.238095238095238,0,4,0.6,False
7,0,3.238095238095238,0,4,0.6,False
4,0,14.166666666666666,13,3,0.75,False
4,0,14.166666666666666,13,3,0.75,False
4,0,14.833333333333334,13,3,0.7333333333333333,False
4,0,14.833333333333334,13,3,0.7333333333333333,False
4,0,11.333333333333334,13,3,0.6,False
4,0,11.333333333333334,13,3,0.6,False
4,0,12.666666666666666,13,3,0.7333333333333333,False
4,0,12.666666666666666,13,3,0.7333333333333333,False
4,0,11.666666666666666,6,3,0.6875,False
4,0,11.666666666666666,6,3,0.6875,False
4,0,11.166666666666666,13,4,0.8333333333333334,False
4,0,11.166666666666666,13,4,0.8333333333333334,False
4,0,11.5,13,1,0.6666666666666666,False
4,0,11.5,13,1,0.6666666666666666,False
4,0,12.333333333333334,13,3,0.7857142857142857,False
4,0,12.333333333333334,13,3,0.7857142857142857,False
4,0,14.333333333333334,6,4,0.75,False
4,0,14.333333333333334,6,4,0.75,False
4,0,17.166666666666668,13,3,0.7272727272727273,False
4,0,17.166666666666668,13,3,0.7272727272727273,False
4,1,11.0,13,3,0.6428571428571429,False
4,1,11.0,13,3,0.6428571428571429,False
6,0,3.3333333333333335,0,3,0.6666666666666666,False
6,0,3.3333333333333335,0,3,0.6666666666666666,False
2,0,2.0,0,3,1.0,False
2,0,2.0,0,3,1.0,False
4,0,15.0,13,3,0.6666666666666666,False
4,0,15.0,13,3,0.6666666666666666,False
4,0,11.666666666666666,13,3,0.6428571428571429,False
4,0,12.0,13,3,0.6428571428571429,False
4,0,11.666666666666666,13,3,0.6428571428571429,False
4,0,12.0,13,3,0.6428571428571429,False
4,0,21.0,6,3,0.8888888888888888,False
4,0,21.0,6,3,0.8888888888888888,False
4,0,9.5,13,4,0.6666666666666666,False
4,0,8.0,6,4,0.7857142857142857,False
4,0,9.5,13,4,0.6666666666666666,False
4,0,8.0,6,4,0.7857142857142857,False
4,0,13.833333333333334,13,4,0.8333333333333334,False
4,0,13.833333333333334,13,4,0.8333333333333334,False
4,0,13.666666666666666,6,4,0.8181818181818182,False
4,0,15.5,13,4,0.7272727272727273,False
4,0,13.666666666666666,6,4,0.8181818181818182,False
4,0,15.5,13,4,0.7272727272727273,False
4,0,17.5,13,4,0.6875,False
4,0,17.5,13,4,0.6875,False
4,0,13.666666666666666,13,1,0.631578947368421,False
4,0,12.333333333333334,13,3,0.7272727272727273,False
4,0,12.333333333333334,13,3,0.7272727272727273,False
7,0,3.238095238095238,0,4,0.5238095238095238,False
7,0,3.238095238095238,0,4,0.5238095238095238,False
4,0,12.333333333333334,13,3,0.6470588235294118,False
4,0,12.333333333333334,13,3,0.6470588235294118,False
4,0,16.0,6,3,0.8571428571428571,False
4,0,12.333333333333334,13,3,0.7142857142857143,False
4,0,12.333333333333334,13,3,0.7142857142857143,False
4,0,11.333333333333334,13,3,0.8,False
4,0,11.333333333333334,13,3,0.8,False
2,0,0.0,0,3,1.0,False
4,0,11.0,13,1,0.6666666666666666,False
4,0,11.0,13,1,0.6666666666666666,False
7,0,3.0476190476190474,0,3,0.5652173913043478,False
7,0,3.0476190476190474,0,3,0.5652173913043478,False
2,1,6.0,0,3,0.8571428571428571,False
2,1,6.0,0,3,0.8571428571428571,False
4,0,9.166666666666666,13,2,0.6111111111111112,False
4,0,9.166666666666666,13,2,0.6111111111111112,False
4,0,18.166666666666668,13,3,0.8888888888888888,False
4,0,18.166666666666668,13,3,0.8888888888888888,False
4,0,15.5,13,4,0.8461538461538461,False
4,0,15.5,13,4,0.8461538461538461,False
4,0,14.833333333333334,13,1,0.6666666666666666,False
4,0,14.833333333333334,13,1,0.6666666666666666,False
4,0,16.666666666666668,6,4,0.8181818181818182,False
4,0,16.666666666666668,6,4,0.8181818181818182,False
4,0,8.166666666666666,13,4,0.75,False
4,0,8.166666666666666,13,4,0.75,False
4,0,21.0,6,4,0.8333333333333334,False
4,0,21.0,6,4,0.8333333333333334,False
4,0,15.666666666666666,6,3,0.7692307692307693,False
4,0,13.0,6,4,0.75,False
4,0,15.666666666666666,6,3,0.7692307692307693,False
4,0,13.0,6,4,0.75,False
7,0,3.4285714285714284,0,4,0.5454545454545454,False
7,0,3.4285714285714284,0,4,0.5454545454545454,False
4,0,13.666666666666666,13,3,0.6666666666666666,False
4,0,13.666666666666666,13,3,0.6666666666666666,False
4,0,9.5,13,3,0.6666666666666666,False
4,0,9.5,13,3,0.6666666666666666,False
4,0,9.5,7,4,0.7692307692307693,False
4,0,9.5,7,4,0.7692307692307693,False
5,0,2.0,0,2,0.6470588235294118,False
5,0,2.0,0,2,0.6470588235294118,False
4,0,13.666666666666666,13,0,0.6,False
4,0,13.666666666666666,13,0,0.6,False
7,0,1.7142857142857142,0,4,0.55,False
7,0,1.7142857142857142,0,4,0.55,False
3,0,12.666666666666666,13,1,0.8571428571428571,False
3,0,12.666666666666666,13,1,0.8571428571428571,False
4,0,17.5,13,1,0.631578947368421,False
4,0,14.833333333333334,7,1,0.631578947368421,False
4,0,17.5,13,1,0.631578947368421,False
4,0,14.833333333333334,7,1,0.631578947368421,False
5,0,8.8,13,3,0.7692307692307693,False
5,0,8.8,13,3,0.7692307692307693,False
4,0,12.833333333333334,13,2,0.6666666666666666,False
4,0,12.833333333333334,13,2,0.6666666666666666,False
4,1,15.833333333333334,13,3,0.75,False
4,1,15.833333333333334,13,3,0.75,False
4,0,15.833333333333334,13,4,0.6153846153846154,False
4,0,15.833333333333334,13,4,0.6153846153846154,False
7,0,5.142857142857143,7,4,0.6,False
7,0,5.142857142857143,7,4,0.6,False
6,0,3.6666666666666665,7,4,0.5,False
6,0,3.6666666666666665,7,4,0.5,False
4,0,16.333333333333332,6,4,0.8181818181818182,False
4,0,16.333333333333332,6,4,0.8181818181818182,False
4,0,13.333333333333334,7,4,0.6875,False
4,0,13.333333333333334,7,4,0.6875,False
4,0,19.5,13,3,0.6363636363636364,False
4,0,19.5,13,3,0.6363636363636364,False
6,0,5.0,7,4,0.6111111111111112,False
6,0,5.0,7,4,0.6111111111111112,False
3,0,2.6666666666666665,0,2,0.8,False
3,0,2.6666666666666665,0,2,0.8,False
4,0,17.0,6,3,0.8461538461538461,False
4,0,15.666666666666666,6,3,0.7333333333333333,False
4,0,17.0,6,3,0.8461538461538461,False
4,0,15.666666666666666,6,3,0.7333333333333333,False
3,0,2.6666666666666665,0,3,0.6666666666666666,False
3,0,2.6666666666666665,0,3,0.6666666666666666,False
4,0,9.166666666666666,13,3,0.6428571428571429,False
4,0,9.166666666666666,13,3,0.6428571428571429,False
5,1,5.6,7,4,0.5882352941176471,False
5,1,5.6,7,4,0.5882352941176471,False
4,0,15.5,13,4,0.8333333333333334,False
4,0,15.5,13,4,0.8333333333333334,False
6,0,5.133333333333334,7,4,0.6111111111111112,False
4,0,11.0,13,3,0.8571428571428571,False
4,0,11.0,13,3,0.8571428571428571,False
4,0,20.0,6,4,0.7272727272727273,False
4,0,20.0,6,4,0.7272727272727273,False
4,0,13.166666666666666,13,1,0.6842105263157895,False
4,0,13.166666666666666,13,1,0.6842105263157895,False
4,0,11.333333333333334,13,3,0.6428571428571429,False
4,0,11.333333333333334,13,3,0.6428571428571429,False
4,0,14.5,13,4,0.8125,False
4,0,14.5,13,4,0.8125,False
4,1,19.5,13,4,0.7857142857142857,False
4,1,17.666666666666668,6,4,0.7857142857142857,False
4,0,14.333333333333334,6,4,0.7692307692307693,False
4,1,19.5,13,4,0.7857142857142857,False
4,1,17.666666666666668,6,4,0.7857142857142857,False
4,0,14.333333333333334,6,4,0.7692307692307693,False
7,0,4.380952380952381,7,4,0.4782608695652174,False
7,0,4.380952380952381,7,4,0.4782608695652174,False
4,0,5.833333333333333,7,1,0.7222222222222222,False
4,0,5.833333333333333,7,1,0.7222222222222222,False
4,0,14.0,7,1,0.5263157894736842,False
4,0,14.0,7,1,0.5263157894736842,False
4,0,3.0,0,4,0.9,False
4,0,3.0,0,4,0.9,False
4,0,14.833333333333334,13,2,0.6470588235294118,False
4,0,14.833333333333334,13,2,0.6470588235294118,False
4,0,10.0,13,4,0.8125,False
4,0,10.0,13,4,0.8125,False
4,0,16.333333333333332,6,4,0.7692307692307693,False
4,0,16.333333333333332,6,4,0.7692307692307693,False
6,1,4.733333333333333,7,4,0.45454545454545453,False
6,1,4.733333333333333,7,4,0.45454545454545453,False
4,0,9.833333333333334,13,2,0.7272727272727273,False
4,0,9.833333333333334,13,2,0.7272727272727273,False
4,0,14.5,13,2,0.8125,False
4,0,14.5,13,2,0.8125,False
4,0,12.333333333333334,6,1,0.6666666666666666,False
4,0,12.333333333333334,6,1,0.6666666666666666,False
4,0,7.833333333333333,7,3,0.7142857142857143,False
4,0,7.833333333333333,7,3,0.7142857142857143,False
4,0,17.833333333333332,13,4,0.75,False
4,0,17.833333333333332,13,4,0.75,False
5,0,9.0,7,4,0.5882352941176471,False
5,0,9.0,7,4,0.5882352941176471,False
4,1,5.5,7,4,0.6,False
4,1,5.5,7,4,0.6,False
4,0,20.0,6,4,0.6153846153846154,False
4,0,20.0,6,4,0.6153846153846154,False
4,0,13.333333333333334,13,4,0.6875,False
4,0,13.333333333333334,13,4,0.6875,False
4,0,8.833333333333334,13,2,0.7222222222222222,False
4,0,8.833333333333334,13,2,0.7222222222222222,False
4,0,15.5,13,3,0.8,False
4,0,15.5,13,3,0.8,False
4,0,11.0,13,4,0.75,False
4,0,11.0,13,4,0.75,False
4,0,18.166666666666668,13,4,0.7777777777777778,False
4,0,18.166666666666668,13,4,0.7777777777777778,False
4,0,12.833333333333334,13,4,0.7333333333333333,False
4,0,12.833333333333334,13,4,0.7333333333333333,False
3,0,1.3333333333333333,0,2,0.7777777777777778,False
3,0,1.3333333333333333,0,2,0.7777777777777778,False
4,0,16.0,13,2,0.6470588235294118,False
4,0,16.0,13,2,0.6470588235294118,False
4,0,13.666666666666666,13,3,0.7333333333333333,False
4,0,14.666666666666666,13,4,0.7692307692307693,False
4,0,14.666666666666666,13,4,0.7692307692307693,False
4,0,13.5,13,3,0.6666666666666666,False
4,0,13.5,13,3,0.6666666666666666,False
4,0,10.333333333333334,13,3,0.6875,False
4,0,5.833333333333333,7,3,0.6875,False
4,0,10.333333333333334,13,3,0.6875,False
4,0,5.833333333333333,7,3,0.6875,False
5,1,4.4,7,4,0.5,False
5,1,4.4,7,4,0.5,False
4,0,17.5,13,1,0.5789473684210527,False
4,0,17.5,13,1,0.5789473684210527,False
4,0,15.166666666666666,13,4,0.625,False
4,0,15.166666666666666,13,4,0.625,False
4,0,11.0,13,4,0.8461538461538461,False
4,0,11.0,13,4,0.8461538461538461,False
4,0,17.666666666666668,0,3,0.7142857142857143,False
4,0,17.666666666666668,0,3,0.7142857142857143,False
2,1,13.0,7,1,0.8888888888888888,False
2,1,13.0,7,1,0.8888888888888888,False
4,1,5.5,7,4,0.6666666666666666,False
4,1,5.5,7,4,0.6666666666666666,False
4,0,11.0,13,4,0.6875,False
4,0,11.0,13,4,0.6875,False
5,0,3.6,0,3,0.75,False
5,0,3.6,0,3,0.75,False
4,0,11.0,13,2,0.75,False
4,0,11.0,13,2,0.75,False
4,0,9.666666666666666,7,4,0.6923076923076923,False
4,0,9.666666666666666,7,4,0.6923076923076923,False
4,0,19.666666666666668,6,4,0.7333333333333333,False
4,0,19.666666666666668,6,4,0.7333333333333333,False
4,0,11.0,13,4,0.7333333333333333,False
4,0,11.0,13,4,0.7333333333333333,False
4,0,8.5,13,2,0.6666666666666666,False
4,0,8.5,13,2,0.6666666666666666,False
4,0,17.166666666666668,13,4,0.6923076923076923,False
4,0,17.166666666666668,13,4,0.6923076923076923,False
4,0,15.166666666666666,13,3,0.75,False
4,0,15.166666666666666,13,3,0.75,False
4,0,16.166666666666668,13,4,0.7142857142857143,False
4,0,16.166666666666668,13,4,0.7142857142857143,False
4,1,14.833333333333334,13,3,0.6666666666666666,False
4,1,14.833333333333334,13,3,0.6666666666666666,False
4,0,6.166666666666667,7,4,0.8181818181818182,False
4,0,6.166666666666667,7,4,0.8181818181818182,False
4,0,16.166666666666668,13,4,0.6923076923076923,False
4,0,16.166666666666668,13,4,0.6923076923076923,False
4,0,9.333333333333334,7,3,0.5714285714285714,False
4,0,9.333333333333334,7,3,0.5714285714285714,False
4,0,15.5,13,3,0.7692307692307693,False
4,0,15.5,13,3,0.7692307692307693,False
4,0,6.5,7,3,0.6875,False
4,0,6.5,7,3,0.6875,False
4,0,13.5,13,4,0.7142857142857143,False
4,0,13.5,13,4,0.7142857142857143,False
4,0,10.333333333333334,7,4,0.75,False
4,0,10.333333333333334,7,4,0.75,False
4,0,13.833333333333334,13,3,0.6875,False
4,0,13.833333333333334,13,3,0.6875,False
4,0,16.666666666666668,6,4,0.7142857142857143,False
4,0,16.666666666666668,6,4,0.7142857142857143,False
4,0,12.833333333333334,13,4,0.8,False
4,0,12.833333333333334,13,4,0.8,False
4,0,8.5,13,2,0.625,False
4,0,8.5,13,2,0.625,False
4,0,11.0,13,1,0.631578947368421,False
4,0,13.833333333333334,13,1,0.631578947368421,False
4,0,11.333333333333334,13,4,0.75,False
4,0,11.333333333333334,13,4,0.75,False
4,1,15.166666666666666,13,4,0.6666666666666666,False
4,0,14.333333333333334,6,4,0.7857142857142857,False
4,1,15.166666666666666,13,4,0.6666666666666666,False
4,0,14.333333333333334,6,4,0.7857142857142857,False
4,0,14.5,13,4,0.8125,False
4,0,14.5,13,4,0.8125,False
4,0,14.5,13,1,0.6666666666666666,False
4,0,14.5,13,1,0.6666666666666666,False
4,0,12.666666666666666,6,2,0.6470588235294118,False
4,0,12.5,13,2,0.6470588235294118,False
4,0,12.666666666666666,6,2,0.6470588235294118,False
4,0,12.5,13,2,0.6470588235294118,False
4,0,16.5,13,4,0.7333333333333333,False
4,0,16.5,13,4,0.7333333333333333,False
4,0,12.0,13,2,0.7222222222222222,False
4,0,12.0,13,2,0.7222222222222222,False
4,0,17.0,6,4,0.7333333333333333,False
4,0,15.166666666666666,13,4,0.7333333333333333,False
4,0,11.0,13,1,0.631578947368421,False
